ID,名称,品质,槽位,属性1,属性2,属性3,属性4,属性5,描述,美术资源ID
MUZZLE_001,无枪口装置,White,Muzzle,,,,,,"武器原装状态，无枪口装置",MESH_MUZZLE_NONE
MUZZLE_002,基础补偿器,Green,Muzzle,后坐力控制:+5%,噪音:+10%,,,,"基础的枪口补偿器，略微降低后坐力但增加噪音",MESH_MUZZLE_COMP_BASIC
MUZZLE_003,战术补偿器,Blue,Muzzle,后坐力控制:+8%,噪音:+12%,,,,"军用级补偿器，有效控制后坐力",MESH_MUZZLE_COMP_TACTICAL
MUZZLE_004,专业补偿器,Purple,Muzzle,后坐力控制:+12%,噪音:+15%,,,,"专业级补偿器，显著降低后坐力",MESH_MUZZLE_COMP_PRO
MUZZLE_005,消音器,Blue,Muzzle,噪音:-50%,射程:-10%,,,,"有效降低武器噪音，避免暴露位置，但略微降低射程",MESH_MUZZLE_SUPPRESSOR
MUZZLE_006,高级消音器,Purple,Muzzle,噪音:-60%,射程:-8%,,,,"军用级消音器，更好的降噪效果",MESH_MUZZLE_SUPPRESSOR_ADV
MUZZLE_007,制退器,Blue,Muzzle,后坐力控制:+8%,精准度:+3%,噪音:+8%,,,"制退器设计，降低后坐力同时提升精准度",MESH_MUZZLE_BRAKE_BASIC
MUZZLE_008,高级制退器,Purple,Muzzle,后坐力控制:+12%,精准度:+5%,噪音:+10%,,,"顶级制退器，显著改善射击稳定性",MESH_MUZZLE_BRAKE_ADV
MUZZLE_009,混合装置,Gold,Muzzle,后坐力控制:+15%,噪音:-30%,精准度:+5%,,,"传说级混合设计，平衡后坐力控制和降噪效果。据说这是病毒爆发前特种部队实验的原型装置，在最后一次任务后被遗弃在军械库中。",MESH_MUZZLE_HYBRID
SIGHT_001,机械瞄具,White,Sight,,,,,,"武器原装机械瞄具，基础瞄准功能",MESH_SIGHT_IRON
SIGHT_002,廉价红点,Green,Sight,瞄准速度:+5%,,,,,"民用红点瞄具，提供快速瞄准",MESH_SIGHT_REDDOT_CHEAP
SIGHT_003,军用红点,Green,Sight,瞄准速度:+8%,精准度:+3%,,,,"军用级红点瞄具，更可靠的瞄准",MESH_SIGHT_REDDOT_MIL
SIGHT_004,高级红点,Blue,Sight,瞄准速度:+10%,精准度:+5%,,,,"高级红点瞄具，更清晰的视野和快速瞄准",MESH_SIGHT_REDDOT_ADV
SIGHT_005,战术红点,Blue,Sight,瞄准速度:+12%,,,,,"战术级红点，极快的瞄准速度",MESH_SIGHT_REDDOT_TAC
SIGHT_006,全息瞄具,Purple,Sight,瞄准速度:+15%,视野:+10%,精准度:-3%,,,"全息投影瞄具，宽视野快速捕获目标",MESH_SIGHT_HOLO
SIGHT_007,高级全息,Purple,Sight,瞄准速度:+18%,视野:+12%,,,,"顶级全息瞄具，完美的快速瞄准体验",MESH_SIGHT_HOLO_ADV
SIGHT_008,2倍镜,Blue,Sight,精准度:+8%,瞄准速度:-5%,,,,"2倍放大镜，适合中距离作战",MESH_SIGHT_2X
